  nnod     Lon    Lat      Cost    hs      dir   
 149691  -71.313  25.794  13.324  1.88  34.19 
 149692  -71.288  25.794  13.360  1.88  34.24 
 149693  -71.263  25.794  13.397  1.88  34.29 
 149694  -71.238  25.794  13.434  1.89  34.34 
 149695  -71.213  25.794  13.470  1.89  34.39 
 149696  -71.188  25.794  13.507  1.88  36.43 
 149697  -71.163  25.794  13.544  1.88  36.45 
 149698  -71.138  25.794  13.580  1.89  36.47 
 149699  -71.113  25.794  13.617  1.89  36.49 
 149700  -71.088  25.794  13.654  1.89  36.51 
 149701  -71.063  25.794  13.690  1.89  36.53 
 149702  -71.038  25.794  13.727  1.90  36.55 
 149703  -71.013  25.794  13.764  1.90  36.57 
 149704  -70.988  25.794  13.800  1.90  36.58 
 149705  -70.963  25.794  13.837  1.90  36.58 
 149706  -70.938  25.794  13.874  1.91  36.59 
 149707  -70.913  25.794  13.910  1.91  36.59 
 149708  -70.888  25.794  13.947  1.91  36.60 
 149709  -70.863  25.794  13.984  1.91  36.60 
 149710  -70.838  25.794  14.021  1.92  36.61 
 149711  -70.813  25.794  14.057  1.92  36.61 
 149712  -70.788  25.794  14.094  1.92  36.61 
 149713  -70.763  25.794  14.131  1.92  36.61 
 149714  -70.738  25.794  14.167  1.93  36.60 
 149715  -70.713  25.794  14.204  1.93  36.60 
 149716  -70.688  25.794  14.241  1.93  36.59 
 149717  -70.663  25.794  14.278  1.93  36.58 
 149718  -70.638  25.794  14.314  1.94  36.58 
 149719  -70.613  25.794  14.351  1.94  36.57 
 149720  -70.588  25.794  14.388  1.94  36.56 
 149721  -70.563  25.794  14.424  1.94  36.52 
 149722  -70.538  25.794  14.461  1.95  36.49 
 149723  -70.513  25.794  14.498  1.95  36.46 
 149724  -70.488  25.794  14.535  1.94  37.90 
 149725  -70.463  25.794  14.572  1.94  37.87 
 149726  -70.438  25.794  14.608  1.95  37.85 
 149727  -70.413  25.794  14.645  1.95  37.82 
 149728  -70.388  25.794  14.682  1.95  37.79 
 149729  -70.363  25.794  14.719  1.95  37.76 
 149730  -70.338  25.794  14.755  1.95  37.72 
 149731  -70.313  25.794  14.792  1.95  37.69 
 149732  -70.288  25.794  14.829  1.96  37.66 
 149733  -70.263  25.794  14.866  1.96  37.63 
 149734  -70.238  25.794  14.903  1.96  37.59 
 149735  -70.213  25.794  14.940  1.96  37.56 
 149736  -70.188  25.794  14.976  1.96  37.53 
 149737  -70.163  25.794  15.013  1.96  37.50 
 149738  -70.138  25.794  15.050  1.96  37.47 
 149739  -70.113  25.794  15.087  1.96  37.43 
 149740  -70.088  25.794  15.124  1.96  37.40 
 149741  -70.063  25.794  15.160  1.96  37.37 
 149742  -70.038  25.794  15.197  1.96  37.34 
 149743  -70.013  25.794  15.234  1.96  37.31 
 149744  -69.988  25.794  15.271  1.96  37.28 
 149745  -69.963  25.794  15.307  1.96  37.24 
 149746  -69.938  25.794  15.344  1.96  37.20 
 149747  -69.913  25.794  15.381  1.96  37.17 
 149748  -69.888  25.794  15.418  1.96  37.13 
 149749  -69.863  25.794  15.455  1.97  37.09 
 149750  -69.838  25.794  15.491  1.97  37.06 
 149751  -69.813  25.794  15.528  2.11  38.21 
 149752  -69.788  25.794  15.565  2.11  38.16 
 149753  -69.763  25.794  15.602  2.11  38.11 
 149754  -69.738  25.794  15.639  2.11  38.06 
 149755  -69.713  25.794  15.675  2.11  38.01 
 149756  -69.688  25.794  15.712  2.12  37.96 
 149757  -69.663  25.794  15.749  2.12  37.91 
 149758  -69.638  25.794  15.786  2.12  37.86 
 149759  -69.613  25.794  15.823  2.12  37.81 
 149760  -69.588  25.794  15.860  2.12  37.76 
 149761  -69.563  25.794  15.896  2.12  37.71 
 149762  -69.538  25.794  15.933  2.12  37.66 
 149763  -69.513  25.794  15.970  2.12  37.61 
 149764  -69.488  25.794  16.007  2.13  37.56 
 149765  -69.463  25.794  16.044  2.13  37.52 
 149766  -69.438  25.794  16.081  2.13  37.47 
 149767  -69.413  25.794  16.118  2.13  37.42 
 149768  -69.388  25.794  16.156  2.13  37.38 
 149769  -69.363  25.794  16.193  2.13  37.35 
 149770  -69.338  25.794  16.230  2.13  37.32 
 149771  -69.313  25.794  16.267  2.13  37.29 
 149772  -69.288  25.794  16.304  2.13  37.26 
 149773  -69.263  25.794  16.341  2.13  37.23 
 149774  -69.238  25.794  16.379  2.13  37.20 
 149775  -69.213  25.794  16.416  2.13  37.17 
 149776  -69.188  25.794  16.453  2.13  37.15 
 149777  -69.163  25.794  16.490  2.13  37.15 
 149778  -69.138  25.794  16.527  2.04  38.86 
 149779  -69.113  25.794  16.564  2.04  38.85 
 149780  -69.088  25.794  16.601  2.05  38.84 
 149781  -69.063  25.794  16.639  2.05  38.83 
 149782  -69.038  25.794  16.676  2.05  38.82 
 149783  -69.013  25.794  16.713  2.05  38.81 
 149784  -68.988  25.794  16.750  2.05  38.80 
 149785  -68.963  25.794  16.787  2.05  38.81 
 149786  -68.938  25.794  16.824  2.05  38.81 
 149787  -68.913  25.794  16.861  2.05  38.81 
 149788  -68.888  25.794  16.899  2.05  38.81 
 149789  -68.863  25.794  16.936  2.05  38.81 
 149790  -68.838  25.794  16.973  2.05  38.81 
